     ____
    / _  |   Frida 17.17.0 - A world-class dynamic instrumentation toolkit
   | (_| |
    > _  |   Commands:
   /_/ |_|       help      -> Displays the help system
   . . . .       object?   -> Display information about 'object'
   . . . .       exit/quit -> Exit
   . . . .
   . . . .   Prefer a GUI? Luma is the official Frida app, with a live REPL,
   . . . .   persistent sessions & collaboration. https://luma.frida.re/
   . . . .
   . . . .   Connected to iPhone (id=00008150-00093DA00ABB401C)
Spawning `com.oceanwing.SoundCore.G8AW4BQ7RV`...

==================== PROCESS ====================
frida       : 17.17.0
pid / arch  : 6592 / arm64
page size   : 16384
objc avail  : true

==================== MODULES OF INTEREST ====================
    PKPeerPaymentPendingRequestsResponse
    PKPeerPaymentPerformActionRequest
    PKPeerPaymentPerformRequest
    PKPeerPaymentPreferencesRequest
    PKPeerPaymentQuoteCertificatesRequest
    PKPeerPaymentQuoteRequest
    PKPeerPaymentReOpenAccountRequest
    PKPeerPaymentRecipientRequest
    PKPeerPaymentRecipientsRequest
    PKPeerPaymentRecurringPaymentActionRequest
    PKPeerPaymentRecurringPaymentsRequest
    PKPeerPaymentRemoveAssociatedAccountRequest
    PKPeerPaymentRequest
    PKPeerPaymentRequestToken
    PKPeerPaymentRequestTokenRequest
    PKPeerPaymentRequestTokenResponse
    PKPeerPaymentServiceRegistrationRequest
    PKPeerPaymentServiceUnregisterRequest
    PKPeerPaymentStatementRequest
    PKPeerPaymentStatusRequest
    PKPeerPaymentSubmitDeviceScoreIdentifiersRequest
    PKPeerPaymentTransactionAnswerRequest
    PKPeerPaymentUpdatePreferencesRequest
    PKPeerPaymentUpdateUserInfoRequest
    PKPeerPaymentUserInfoRequest
    PKPeerPaymentWebServiceBadRequestResponse
    PKPeerPaymentWebServiceRequest
    PKPendingInvitationRequest
    PKPendingPassUpgrade
    PKPrecursorPassUpgradeController
    PKPrecursorPassUpgradeRequestAction
    PKPrecursorPassUpgradeRequestDescription
    PKPrintJobRequest
    PKProtobufAutomaticReloadPaymentRequest
    PKProtobufCloudStoreZoneInvitationRequest
    PKProtobufDeferredPaymentRequest
    PKProtobufPaymentDeviceRequest
    PKProtobufPaymentInstrumentThumbnailRequest
    PKProtobufPaymentRequest
    PKProtobufPaymentSetupRequest
    PKProtobufPaymentToken
    PKProtobufPaymentTokenContext
    PKProtobufRecurringPaymentRequest
    PKProtobufRemotePaymentRequest
    PKProtobufRemoteRegistrationRequest
    PKProtobufRemoteRegistrationRequestResult
    PKProvisioningAnalyticsSessionPreflightToken
    PKProvisioningContinuityDiscoveryRequestMessage
    PKProvisioningExistingCardAuthorizationDestinationDeviceSignature
    PKProvisioningExistingCardAuthorizationStoreRequest
    PKProxCardRequest
    PKPushTokenFetcher
    PKQuotaNotification
    PKRecurringPaymentRequest
    PKRecurringPaymentRequestValidator
    PKRefreshVPANPaymentCredentialRequest
    PKRegisterMerchantTokenPublicKeyRequest
    PKRemoteNetworkPaymentCoordinator
    PKRemotePaymentRequest
    PKRemoteRegistrationRequest
    PKRetrieveMerchantTokensRequest
    PKRetrieveMerchantTokensResponse
    PKRetrieveMerchantTokensUnifiedListRequest
    PKRetrieveVPANPaymentCredentialRequest
    PKSEConsistencyCheckRequestedAction
    PKSearchPendingPeerPaymentRequestResult
    PKSecureElementSignatureInfo
    PKServiceProviderPaymentRequest
    PKSharingExternalInvitationRequestMessage
    PKSharingInvitationRequestMessage
    PKSpendingSummaryFetcherRequest
    PKStandaloneTransactionBannerHandleRequest
    PKTPSDiscoverabilitySignal
    PKTapToRadarRequest
    PKTextInputLanguageSelectionToken
    PKTransactionReceiptAuthorizationRequest
    PKTransactionReceiptHeaderField
    PKTransactionReceiptRequest
    PKVPANPaymentSessionRequest
    PKVehicleInitiatedPairingProxCardRequest
    PKVerificationRequestRecord
    PKVirtualCardEnrollmentRequest
    PKWalletTransactionSignal
    PKWebServiceLoggableHeaders
    PKWebServiceLoggableRequestBody
    PKWebServiceMerchantTokensFeature
    PKWebServiceProvisioningCardReaderNetworkConfiguration
    PKWebServiceRemoteNetworkPaymentFeature
    PKWebServiceRequest
    PKWebServiceRequestMetadata
    PKWebServiceVirtualCardFeatureNetwork
    PK_ipp_request_t
    PLAssetResourceDownloadRequest
    PLAssetResourceUploadJobRequest
    PLBackgroundJobWorkerSignalTimer
    PLChangesRequestInProgressMarker
    PLFeatureAvailabilitySignalledChanges
    PLFetchRequest
    PLGraphEdgeAdditionalLabelAssignment
    PLGraphNodeAdditionalLabelAssignment
    PLJournalEntryHeader
    PLMediaAnalysisServiceRequestAdapter
    PLModelMigrationAction_FixResourcesIncorrectlyAssignedToSyndicationDataStore
    PLModelMigrationAction_FixSignExtended32bSceneIdentifiers
    PLModelMigrationAction_MigrateLastGuestAssetSyncToken
    PLModelMigrationAction_RemoveScreenshotAssetsFromDuplicateAlbums
    PLModelMigrationAction_ResetDuplicateDetectorProcessingToken
    PLModelMigrationAction_ResetFilesystemImportToken
    PLModelMigrationAction_ResetSyndicationAssetSyncToken
    PLModelMigrationAction_moveLocalVersionTokenFromPlistToGlobalValues
    PLMomentThemeAssignment
    PLNetworkEnergyModel
    PLNetworkUsageSnapshot
    PLPersistentHistoryMarkerToken
    PLPhotoLibraryAttributesChangeRequestServiceHandler
    PLQuotaRequest
    PLResourceLocalAvailabilityRequestOptions
    PLResourceXPCMakeAvailableRequest
    PLResourceXPCRequest
    PLRevGeoPlaceAnnotation
    PLSchemaUpgradeUserNotification
    PLUSSchemaPLUSContactSuggesterRequestMetadataReported
    PLUSSchemaPLUSContactSuggestionAccuracySignalReported
    PLUSSchemaPLUSSuggestionAccuracySignal
    PLXPCLibraryToken
    PLXPCPhotoLibraryStoreServerRequestHandlingPolicy
    PMCredentialRequestPaneHeader
    PMSignInWithAppleController
    PNRODSchemaPNRODIntelligenceFlowRequestGrainSummary
    POMMESSchemaPOMMESPegasusKitNetworkTimingData
    POMMESSchemaPOMMESPegasusKitPegasusRequest
    POMMESSchemaPOMMESPegasusKitPegasusRequestContext
    POMMESSchemaPOMMESPegasusRequestArguments
    POMMESSchemaPOMMESPegasusRequestContext
    POMMESSchemaPOMMESPegasusRequestEnded
    POMMESSchemaPOMMESPegasusRequestFailed
    POMMESSchemaPOMMESPegasusRequestGeoAppResolutionReported
    POMMESSchemaPOMMESPegasusRequestKfedLatency
    POMMESSchemaPOMMESPegasusRequestStarted
    POMMESSchemaPOMMESProfileSliceResolutionRequestContext
    POMMESSchemaPOMMESProfileSliceResolutionRequestEnded
    POMMESSchemaPOMMESProfileSliceResolutionRequestFailed
    POMMESSchemaPOMMESProfileSliceResolutionRequestStarted
    POMMESSchemaPOMMESRequestContext
    POMMESSchemaPOMMESRequestEnded
    POMMESSchemaPOMMESRequestFailed
    POMMESSchemaPOMMESRequestResult
    POMMESSchemaPOMMESRequestStarted
    POMMESSchemaPOMMESRequestUnableToHandle
    POMMESSchemaPOMMESSearchRequestClassifierExecuted
    PPSocialHighlightStoreRequestKey
    PRSiriSchemaPRRequestContext
    PRSiriSchemaPRRequestEnded
    PRSiriSchemaPRRequestFailed
    PRSiriSchemaPRRequestStarted
    PRSiriSchemaPRResponseGenerationRequestContext
    PRSiriSchemaPRResponseGenerationRequestEnded
    PRSiriSchemaPRResponseGenerationRequestFailed
    PRSiriSchemaPRResponseGenerationRequestStart
    PSAccessoryInfoHeaderCell
    PSAccessoryInfoHeaderView
    PSCloudStorageQuotaManager
    PSESchemaPSEAlarmSignalGenerated
    PSESchemaPSEAppIntentSignalGenerated
    PSESchemaPSECallSignalGenerated
    PSESchemaPSECommonSignal
    PSESchemaPSEGenericSignalGenerated
    PSESchemaPSEHomeFollowupSignalGenerated
    PSESchemaPSEMapsSignalGenerated
    PSESchemaPSEMediaSignalGenerated
    PSESchemaPSEMessageSignalGenerated
    PSIIndexToken
    PSIQueryPlaceToken
    PSIQueryToken
    PSIToken
    PSITokenizer
    PSKeychainSyncHeaderView
    PSQuotaInfo
    PSResourceRequest
    PSSGMessageCompletedCurrentGraphsRequest
    PSSGMessageCompletedResourceRequestWithStrides
    PSSGMessageReadyForServerRequest
    PSSGMessageRequestContextForResourceKeys
    PSSGMessageRequestContextForSessions
    PSSGMessageRequestCurrentGraphs
    PSSGMessageRequestCurrentGraphsForAllSessions
    PSSGMessageRequestDPTailspin
    PSSGMessageRequestGraphResubmission
    PSSGMessageRequestResourceAvailabilityUpdates
    PSSGMessageRequestResourceContext
    PSSGMessageRequestResourcesBase
    PSSGMessageRequestResourcesWithStrides
    PSSGMessageResourceRequestsFailed
    PSSGMessageSHRequestAllGraphs
    PSSGMessageSHRequestProcessMonitorEventLog
    PSSGMessageSHRequestProcessMonitorStats
    PSSGMessageSHRequestSystemActionStats
    PSSGRequestState
    PSSGResourceRequest
    PSSGResourceRequestEntry
    PSUsageSizeHeader
    PTAssetFSDNetworkInputFrame
    PTAssetFSDNetworkInputReader
    PTCVMNetwork
    PTCinematographyNetwork
    PTCinematographyNetworkFloatOutputStream
    PTCinematographyNetworkInputSchema
    PTCinematographyNetworkLabelSignal
    PTCinematographyNetworkNamedSignal
    PTCinematographyNetworkParameters
    PTCinematographyNetworkPayload
    PTCinematographyNetworkRectSignal
    PTCinematographyNetworkSignal
    PTCinematographyNetworkUncertaintySignal
    PTEffectCompositionRenderRequest
    PTEffectRenderRequest
    PTFaceAttributesNetwork
    PTGlobalVideoHeaderMetadata
    PTGlobalVideoHeaderMetadataVersion1
    PTPOperationRequestPacket
    PTPersonSemanticsNetwork
    PTRenderRequest
    PTUIPaddedHeaderLabel
    PUPhotoPickerRemoteViewControllerRequestOptions
    PageSignature
    PassKitCore.ProvisioningCarKeyStepRequestInvite
    PassKitCore.ProvisioningStepAddPassRequest
    PassKitCore.RemoteNetworkPaymentSession
    PassKitCore.RemoteNetworkPaymentWebsocketURLSession
    PasswordManagerUI.PMSignInWithAppleAccountDetailsModel
    PasswordManagerUI.PMSignInWithAppleIconController
    PasswordManagerUI.PMWiFiNetworksStore
    PegasusConfiguration.PARNetworkRequestFactory
    PegasusConfiguration.ParsecURLRequestBuilder
    PendingRequest
    PhotosIntelligence.ExtendedTokenGenerator
    PhotosIntelligence.FinalTokenGenerator
    PhotosIntelligence.FreeformStoryRequestGenerator
    PhotosIntelligence.OptionalizedTokensDataSource
    PhotosIntelligence.SafeTokenAnalyzer
    PodsDummy_LibNetwork
    PodsDummy_ModuleOTA
    PodsDummy_libZhixinEcdh
    PodsDummy_sqflite_sqlcipher
    PrivacyProxyNetworkStatus
    PrivacyProxyTokenInfo
    ProactiveDaemonSupport.MachIdentityToken
    QCAudioHeaderHandle
    QCECDHKeyUtils
    QCECDHManager
    QLFilePreviewRequest
    QLFileThumbnailRequest
    QLNetworkStateObserver
    QLPinchRotationTracker
    QLTFileThumbnailRequest
    QLTThumbnailRequest
    QLTUbiquitousFileThumbnailRequest
    QLThumbnailGenerationRequest
    QLThumbnailRequestOperation
    RBSAuditToken
    RBSHandshakeRequest
    RBSLaunchRequest
    RBSRequest
    RBSTerminateRequest
    RCNetworkActivity
    RCNetworkEvent
    RCNetworkOperationTask
    RCNetworkOperationURLSessionDelegate
    RCOperationDelayedRetrySignal
    RCOperationExternalSignal
    RCOperationImmediateRetrySignal
    RCOperationNotificationRetrySignal
    RCRequestInfo
    READSchemaREADRequestContext
    READSchemaREADRequestPreprocessingContext
    READSchemaREADRequestPreprocessingEnded
    READSchemaREADRequestStarted
    REResourceRequestOptions
    REVideoRequestOptions
    RFMapAnnotation
    RFPrimaryHeaderMarqueeCardSection
    RFPrimaryHeaderRichCardSection
    RFPrimaryHeaderStackedImageCardSection
    RFPrimaryHeaderStandardCardSection
    RFSecondaryHeaderEmphasizedCardSection
    RFSecondaryHeaderStandardCardSection
    RFTableHeaderCardSection
    RGSiriSchemaRGRequestContext
    RGSiriSchemaRGRequestEnded
    RGSiriSchemaRGRequestEndedTier1
    RGSiriSchemaRGRequestFailed
    RGSiriSchemaRGRequestStarted
    RMModelAccountExchangeDeclaration_SMIMESigning
    RMModelAccountMailDeclaration_SMIMESigning
    RMModelNetworkEAPDeclaration
    RMModelNetworkEAPDeclaration_EAPFAST
    RMModelNetworkEAPDeclaration_EAPSIMAKA
    RMModelNetworkEAPDeclaration_EAPSIMAKANotificationAction
    RMModelNetworkEAPDeclaration_PrivateAccessToken
    RMModelNetworkEAPDeclaration_TLS
    RMModelNetworkWiFiDeclaration
    RMModelNetworkWiFiDeclaration_HotSpot
    RMModelNetworkWiFiDeclaration_Proxy
    RMModelNetworkWiFiDeclaration_QoSMarkingPolicy
    RMModelStatusManagementPushToken
    RMProtocolCommandRequest
    RMProtocolCommandRequest_StatusReason
    RMProtocolEnrollRequest
    RMProtocolSynchronizationTokens
    RMProtocolTokensResponse
    RMStoreDeclarationKeyPair
    RPAppSignInService
    RPNWActivityRequestMetrics
    RPRequestEntry
    RPRequestRegistration
    RPSignedInUserProvider
    RPTapToRadarRequest
    RRSchemaRRAnnotatedEntity
    RRSchemaRRAnnotation
    RSABSSATokenBlinder
    RSABSSATokenIssuer
    RSABSSATokenReady
    RSABSSATokenWaitingActivation
    RSSSchemaRSSSiriVocabSyncCompanionSyncPluginSyncRequested
    RSSSchemaRSSSiriVocabSyncTokenFetchRequestReceived
    RSSSchemaRSSSiriVocabSyncTokenReceived
    RTCSecureHierarchyToken
    RTIDocumentRequest
    RTPredictedContextRequest
    RTSignalGeneratorOptions
    RTTokenBucket
    RUIActionSignal
    RUIDetailHeaderElement
    RUIHTMLHeaderElement
    RUIHTMLHeaderView
    RUIHTTPRequest
    RUIHeaderElement
    RUIHeaderView
    RUIModernHeaderView
    RUIOsloHeaderView
    RUIPrivacyLinkHeaderElement
    RUISubHeaderElement
    RUITableViewHeaderFooterView
    RealityFoundation.LoadRequestDependencies
    RealityFoundation.RERealityFileHeader
    RealityFoundation.RequestLoadableUtilities
    RealityKit.NetworkCompatibilityToken
    RealityKit.__AssetLoadRequest
    RealityKit.__REOSSignpostScope
    RecencyService.ImageGlyphLastUsedDateTimeRequestHandler
    RecencyService.ImageGlyphRecencyRequestHandler
    RecencyService.ImageGlyphRecordEngagementRequestHandler
    RecencyService.RequestDispatcher
    ReminderEntityAnnotation
    ReplicatorEngine.NetworkBrowser
    ReplicatorEngine.NetworkMessenger
    SAAESEncryptor
    SAAESEventEncryptor
    SAAIRequestSearch
    SAAceDomainSignal
    SAAdsEncryptInterceptor
    SABackgroundUpdateRequest
    SACFClientFlowRequestCallback
    SACFMParseMessageForEmojiRequest
    SACFSignal
    SACanFlushInterceptor
    SACancelCrossDeviceRequest
    SACancelRequest
    SACorrectUserIdInterceptor
    SACreateSessionInfoRequest
    SADatabaseInterceptor
    SADeleteRecordInterceptor
    SADynamicSuperPropertyInterceptor
    SAECCEncryptor
    SAECCPluginEncryptor
    SAEncryptInterceptor
    SAEventCallbackInterceptor
    SAEventResultInterceptor
    SAEventValidateInterceptor
    SAExecuteOnRemoteRequest
    SAFlushHTTPBodyInterceptor
    SAFlushInterceptor
    SAFlushJSONInterceptor
    SAGetRequestOrigin
    SAHAActionRequest
    SAIDMappingInterceptor
    SAInsertRecordInterceptor
    SAIntentGroupAppAuthorizationStatusRequest
    SAIntentGroupAppEntitlementRequest
    SAIntentGroupAppVocabularySearchRequest
    SAIntentGroupIntentSignal
    SAIntentGroupRequestPaymentSnippet
    SAIntentGroupSiriKitPluginSignal
    SAInterceptor
    SALogSignatureWithABC
    SANetwork
    SANetworkInfoPropertyPlugin
    SAPostUpdatePersonalRequestSettingsNotification
    SAPropertyInterceptor
    SAQueryRecordInterceptor
    SARDModelInferenceRequest
    SARDRunNLXRequest
    SARDRunPOMMESRequest
    SARDStartCorrectedServerRequest
    SARDStartServerRequest
    SARSAEncryptor
    SARSAPluginEncryptor
    SARefreshRequest
    SARemoteConfigInterceptor
    SARepeatFlushInterceptor
    SAReplayRequestFromDMHypothesis
    SARequestCompleted
    SARequestDeepLinkProcessor
    SARestartRequest
    SARollbackRequest
    SASAbortSpeechRequest
    SASClientBoundConfusionNetwork
    SASMUXStartAsrOnServerRequest
    SASProximityAnisetteRequestAction
    SASProximityCompanionAuthRequestAction
    SASServerBoundConfusionNetwork
    SASStartAsrOnServerRequest
    SASStartCorrectedSpeechRequest
    SASStartPronunciationRequest
    SASStartSpeechRequest
    SASStartStructuredDictationSpeechRequest
    SASStartVoiceSearchRequest
    SASTCompetingTeamPlayDetailHeaderItem
    SASTHeaderItem
    SASTSubheaderItem
    SASTTableHeaderItem
    SASToken
    SASVTokenData
    SASVoiceIdentificationSignal
    SASerialQueueInterceptor
    SASetActivationToken
    SASetConnectionHeader
    SASetRequestOrigin
    SASignUpEventObject
    SAStartBackgroundActionRequest
    SAStartDirectActionRequest
    SAStartHandoffRequest
    SAStartLocalRequest
    SAStartMultiUserTestRequest
    SAStartRequest
    SAStartStructuredDictationRequest
    SAStartUIRequest
    SAStockRequest
    SASyncServerSyncDataRequest
    SATTSEstimateTTSRequestDuration
    SATTSEstimateTTSRequestDurationCompleted
    SATTSFetchSpeechSynthesisVoiceRequest
    SATTSStartSpeechSynthesisRequest
    SATTSStartSpeechSynthesisStreamingRequest
    SATableViewHeaderFooterViewNode
    SAUIInitiateStartSpeechRequest
    SAUIPhotoPickerRequest
    SAUIRequestEndBehavior
    SAUIRequestUpdateViews
    SAUIShowRequestHandlingStatus
    SAUISnippetDisplayConfigurationRequest
    SAUpdateRecordInterceptor
    SAUserTokenStatus
    SAVisualizedSnapshotRequestMessage
    SBFAuthenticationRequest
    SBIdleTimerRequestConfiguration
    SBRotationDefaults
    SBSFocusModesHomeScreenSettingsRequest
    SBSInCallPresentationRequest
    SBSQuickActionConfigurationRequest
    SBSQuickActionControlRequest
    SBSSpotlightActivationRequest
    SBSSpotlightActivationRequestServer
    SBSSystemAperturePortalSourceInfoRequest
    SBSSystemAperturePortalSourceInfoRequestServiceSpecification
    SBSSystemNotesPresentationRequest
    SBSSystemNotesTakeScreenshotAction
    SBSUIAXUIServerSceneRequestBuilder
    SBSUICameraOverlaySceneRequestBuilder
    SBSUIDisplayCalibratorSceneRequestBuilder
    SBSUIInCallRequestKeyboardFocusAction
    SBSUIInCallRequestPresentationModeAction
    SBSUILiquidDetectionSceneRequestBuilder
    SBSUIMagnifierSceneRequestBuilder
    SBSUIProximityReaderIDVerifierSceneRequestBuilder
    SBSUIProximityReaderSceneRequestBuilder
    SBSUIScreenSharingOverlaySceneRequestBuilder
    SCDebugNetworkRegister
    SCDebugNetworkUtil
    SCIKDeleteEventRequest
    SCIKDeleteEventRequestCompanion
    SCIKDeleteVoiceNewRequest
    SCIKDeleteVoiceNewRequestCompanion
    SCIKEIotDeviceGenieUpgradeSetting
    SCIKEIotDeviceGenieUpgradeSettingCompanion
    SCIKESIotAppConfig
    SCIKESResultRequestError
    SCIKESResultRequestTimeout
    SCIKGetAppUpTokenRequest
    SCIKGetAppUpTokenRequestCompanion
    SCIKGetEventCalendarRequest
    SCIKGetEventCalendarRequestCompanion
    SCIKGetEventListRequest
    SCIKGetEventListRequestCompanion
    SCIKGetHouseListRequest
    SCIKGetHouseListRequestCompanion
    SCIKGetMegaDeviceListRequest
    SCIKGetMegaDeviceListRequestCompanion
    SCIKGetP2pInfoBySetupCodeRequest
    SCIKGetP2pInfoBySetupCodeRequestCompanion
    SCIKGetProductDataRequest
    SCIKGetProductDataRequestCompanion
    SCIKGetProductListRequest
    SCIKGetProductListRequestCompanion
